# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	1.851851851851851749e-01
14	1.058201058201058142e-01
15	7.936507936507936067e-02
16	7.936507936507936067e-02
17	6.613756613756613389e-02
18	3.439153439153438963e-01
19	2.645502645502645356e-02
20	7.936507936507936067e-02
21	1.984126984126984017e-01
22	3.968253968253968034e-02
23	1.587301587301587213e-01
24	2.248677248677248552e-01
25	1.058201058201058142e-01
26	3.306878306878306972e-01
27	7.936507936507936067e-02
28	3.174603174603174427e-01
29	9.259259259259258745e-02
30	1.322751322751322678e-02
31	2.645502645502645356e-01
32	6.613756613756613389e-02
33	1.587301587301587213e-01
34	4.365079365079365115e-01
35	6.613756613756613389e-02
36	2.910052910052909891e-01
37	1.190476190476190410e-01
38	3.306878306878306972e-01
39	3.174603174603174427e-01
40	1.322751322751322678e-01
41	1.984126984126984017e-01
42	2.645502645502645356e-02
43	1.190476190476190410e-01
44	0.000000000000000000e+00
45	2.380952380952380820e-01
46	7.936507936507936067e-02
47	1.455026455026454946e-01
48	7.936507936507936067e-02
49	3.174603174603174427e-01
50	7.936507936507936067e-02
51	2.645502645502645356e-02
52	4.365079365079365115e-01
53	1.851851851851851749e-01
54	1.587301587301587213e-01
55	2.513227513227513366e-01
56	6.613756613756613389e-02
57	7.936507936507936067e-02
58	1.719576719576719481e-01
59	2.116402116402116285e-01
60	3.968253968253968034e-01
61	5.291005291005290712e-02
62	2.645502645502645356e-02
63	1.322751322751322678e-01
64	7.936507936507936067e-02
65	2.380952380952380820e-01
66	1.851851851851851749e-01
67	6.613756613756613389e-02
68	3.968253968253968034e-02
69	1.322751322751322678e-01
70	1.058201058201058142e-01
71	6.613756613756613389e-02
72	1.984126984126984017e-01
73	1.190476190476190410e-01
74	5.291005291005290712e-02
75	3.306878306878306972e-01
76	3.968253968253968034e-02
77	1.190476190476190410e-01
78	2.116402116402116285e-01
79	2.513227513227513366e-01
80	6.084656084656084873e-01
81	3.968253968253968034e-02
82	5.291005291005290712e-02
83	2.380952380952380820e-01
84	5.291005291005290712e-02
85	3.835978835978836043e-01
86	1.984126984126984017e-01
87	1.455026455026454946e-01
88	3.571428571428571508e-01
89	5.291005291005290712e-02
90	2.645502645502645356e-02
91	7.936507936507936067e-02
92	4.497354497354497105e-01
93	1.455026455026454946e-01
94	1.851851851851851749e-01
95	9.259259259259258745e-02
96	4.232804232804232569e-01
97	6.613756613756613389e-02
98	1.984126984126984017e-01
99	1.058201058201058142e-01
100	1.984126984126984017e-01
101	1.851851851851851749e-01
102	1.190476190476190410e-01
103	7.936507936507936067e-02
104	1.719576719576719481e-01
105	2.645502645502645356e-02
106	2.910052910052909891e-01
107	5.158730158730159276e-01
108	3.968253968253968034e-02
109	2.645502645502645356e-01
110	1.322751322751322678e-02
111	1.322751322751322678e-01
112	1.851851851851851749e-01
113	1.851851851851851749e-01
114	2.777777777777777901e-01
115	1.322751322751322678e-01
116	3.571428571428571508e-01
117	9.259259259259258745e-02
118	3.703703703703703498e-01
119	6.613756613756613389e-02
120	1.587301587301587213e-01
121	1.984126984126984017e-01
122	3.439153439153438963e-01
123	5.291005291005290712e-01
124	9.259259259259258745e-02
125	1.058201058201058142e-01
126	1.058201058201058142e-01
127	1.587301587301587213e-01
128	7.936507936507936067e-02
129	3.968253968253968034e-01
130	2.116402116402116285e-01
131	1.137566137566137670e+00
132	7.936507936507936067e-02
133	1.322751322751322678e-01
134	5.291005291005290712e-02
135	1.984126984126984017e-01
136	1.851851851851851749e-01
137	1.587301587301587213e-01
138	1.441798941798941858e+00
139	2.248677248677248552e-01
140	9.259259259259258745e-02
141	5.687830687830688348e-01
142	2.645502645502645356e-02
143	1.322751322751322678e-01
144	2.910052910052909891e-01
145	4.365079365079365115e-01
146	1.058201058201058142e-01
147	5.687830687830688348e-01
148	6.613756613756613389e-02
149	3.439153439153438963e-01
150	4.100529100529100579e-01
151	0.000000000000000000e+00
152	0.000000000000000000e+00
153	0.000000000000000000e+00
154	0.000000000000000000e+00
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	0.000000000000000000e+00
158	0.000000000000000000e+00
159	0.000000000000000000e+00
160	0.000000000000000000e+00
161	0.000000000000000000e+00
162	0.000000000000000000e+00
